id,Holes,Solidity,Eccentricity,Circularity,InvExtent,RadialVariance,Hu1,Label
180,1,0.540284,0.724897,0.318766,0.332952,0.339614,0.400349,6
181,0,0.565401,0.793669,0.228239,0.381821,0.360157,0.367408,5
182,1,0.622318,0.702019,0.381457,0.411515,0.340373,0.320276,6
183,0,0.629032,0.801119,0.239484,0.430506,0.374554,0.328389,5
184,1,0.624339,0.694373,0.508742,0.410293,0.331834,0.319889,4
185,1,0.728889,0.660994,0.572315,0.52279,0.355885,0.248012,4
186,0,0.623894,0.838774,0.251461,0.416047,0.356592,0.356514,5
187,0,0.468599,0.858819,0.214458,0.315153,0.41575,0.487,3
188,0,0.647541,0.813049,0.244964,0.439441,0.364507,0.326041,5
189,0,0.594828,0.845642,0.255228,0.403513,0.380457,0.371656,3
190,0,0.546053,0.762809,0.241279,0.392254,0.361238,0.348438,2
191,0,0.619247,0.832918,0.274435,0.435287,0.381389,0.337791,3
192,1,0.745,0.686795,0.614049,0.528174,0.362221,0.247692,4
193,1,0.634703,0.736118,0.394689,0.420107,0.360296,0.319296,6
194,1,0.704545,0.66295,0.547053,0.499861,0.35585,0.259544,4
195,0,0.688172,0.760571,0.261124,0.482199,0.35934,0.282921,5
196,0,0.758065,0.952418,0.51712,0.620549,0.487532,0.359368,1
197,1,0.666667,0.695431,0.514327,0.46521,0.34573,0.282199,4
198,0,0.611538,0.822432,0.257171,0.442121,0.361052,0.327871,2
199,0,0.597403,0.841948,0.296076,0.418486,0.396005,0.35617,3
200,0,0.431718,0.84429,0.189329,0.286632,0.401005,0.522045,2
201,0,0.817073,0.969859,0.551595,0.697396,0.515208,0.387142,1
202,1,0.732558,0.714379,0.440766,0.510869,0.348366,0.259559,6
203,0,0.66,0.821702,0.270367,0.472009,0.376513,0.306791,5
204,0,0.525822,0.818922,0.212522,0.342987,0.357749,0.420604,5
205,1,0.769531,0.468475,0.668363,0.593182,0.369708,0.211501,4
206,1,0.745763,0.724566,0.599379,0.555436,0.360582,0.239872,4
207,1,0.723077,0.644664,0.655828,0.496717,0.317297,0.259601,4
208,1,0.790123,0.755778,0.654406,0.582651,0.351964,0.233186,4
209,0,0.537445,0.822362,0.211939,0.354984,0.355998,0.408255,5
210,0,0.826923,0.958455,0.589792,0.653113,0.490108,0.360844,1
211,0,0.519841,0.830707,0.233855,0.351579,0.371924,0.417015,2
212,0,0.558923,0.738701,0.211132,0.373716,0.357233,0.359838,3
213,0,0.68797,0.824874,0.257856,0.483908,0.38348,0.300572,5
214,1,0.585153,0.714791,0.355145,0.381221,0.339564,0.347842,6
215,0,0.688172,0.707299,0.257873,0.482521,0.320399,0.273927,5
216,0,0.608163,0.824197,0.239912,0.415065,0.360019,0.350053,5
217,0,0.479263,0.822647,0.183698,0.303421,0.339659,0.477807,5
218,0,0.694215,0.960126,0.467451,0.591733,0.514533,0.405347,1
219,0,0.745819,0.757367,0.304697,0.545435,0.364789,0.249558,5
220,1,0.60221,0.733947,0.428171,0.397755,0.355545,0.336542,4
221,1,0.711382,0.692422,0.424507,0.474317,0.336621,0.276751,6
222,0,0.559701,0.758853,0.198262,0.3657,0.334601,0.372615,5
223,1,0.649533,0.689816,0.502759,0.455582,0.332832,0.287611,4
224,0,0.509728,0.838564,0.255382,0.351575,0.359258,0.421882,2
225,0,0.811765,0.896679,0.695694,0.686964,0.460468,0.244588,1
226,1,0.629921,0.661335,0.431175,0.484582,0.359166,0.267651,4
227,1,0.627706,0.749782,0.373194,0.415342,0.357799,0.325837,6
228,1,0.7,0.763316,0.402738,0.480513,0.359909,0.28445,6
229,0,0.569565,0.862807,0.234129,0.388512,0.387475,0.398272,3
230,0,0.613281,0.836395,0.277853,0.434932,0.39417,0.339871,2
231,1,0.629758,0.831254,0.291632,0.449426,0.367658,0.326558,6
232,0,0.487805,0.822216,0.185767,0.305633,0.353759,0.474007,5
233,0,0.708029,0.823673,0.447573,0.551518,0.382702,0.263245,3
234,2,0.764205,0.813796,0.614113,0.567174,0.338427,0.253036,6
235,0,0.437768,0.82554,0.18547,0.286466,0.355192,0.508095,2
236,0,0.665306,0.845123,0.270862,0.472344,0.385254,0.317234,5
237,1,0.586735,0.726792,0.476343,0.408762,0.341488,0.326181,4
238,0,0.495413,0.823205,0.195678,0.323003,0.344007,0.44913,5
