Holes,Solidity,Eccentricity,Circularity,Extent,PerimAreaRatio,Label
1.000000,0.693069,0.685759,0.491391,0.466667,0.427393,4
1.000000,0.615385,0.716937,0.382162,0.477193,0.491713,6
0.000000,0.598214,0.832978,0.251909,0.418750,0.610142,5
0.000000,0.680851,0.972495,0.414531,0.313725,0.688234,1
1.000000,0.701031,0.732005,0.554474,0.511278,0.408221,4
0.000000,0.742574,0.963036,0.461700,0.312500,0.602413,1
0.000000,0.563786,0.781159,0.228566,0.360526,0.633489,5
1.000000,0.685259,0.738333,0.399139,0.546032,0.427837,6
1.000000,0.611111,0.698102,0.513099,0.380623,0.471855,4
1.000000,0.548837,0.738169,0.333644,0.443609,0.564966,6
1.000000,0.717703,0.642168,0.587522,0.493421,0.377613,4
0.000000,0.791304,0.957308,0.531812,0.388889,0.509571,1
1.000000,0.710280,0.707961,0.579998,0.500000,0.377546,4
0.000000,0.581967,0.779979,0.275295,0.439628,0.566972,3
0.000000,0.537118,0.808158,0.189025,0.341667,0.735179,5
0.000000,0.724138,0.974669,0.429565,0.552632,0.681429,1
